,file,run,types,prevs,n_dropped,outcome,total_time,max_time,median_time,n_runs,run_id,Specification,Expressions,Result
61,../Translators/input-files/examples/lift_FINAL.spectra,8,"['A,G']",False,1,SimEnv.Success,153.41022157669067,68.98249936103821,68.21121501922607,3,110,Lift,"A,G",Success
62,../Translators/input-files/examples/lift_FINAL.spectra,9,"['A,G']",False,1,SimEnv.Success,16.09182643890381,16.09182643890381,16.09182643890381,1,110,Lift,"A,G",Success
0,../Translators/input-files/examples/lift_FINAL_NEW.spectra,0,['A'],False,1,SimEnv.Invalid,0.0,0.0,0.0,0,67,Lift New,A,Invalid
1,../Translators/input-files/examples/lift_FINAL_NEW.spectra,1,['A'],False,6,SimEnv.Realizable,185.625652551651,21.469388961791992,18.24711012840271,10,67,Lift New,A,Realizable
2,../Translators/input-files/examples/lift_FINAL_NEW.spectra,2,['A'],False,8,SimEnv.Realizable,220.2130491733551,26.45604372024536,21.26971006393433,10,67,Lift New,A,Realizable
3,../Translators/input-files/examples/lift_FINAL_NEW.spectra,3,['A'],False,9,SimEnv.Realizable,196.61885023117063,21.061593770980835,20.508134722709656,10,67,Lift New,A,Realizable
4,../Translators/input-files/examples/lift_FINAL_NEW.spectra,4,['A'],False,7,SimEnv.Success,25.87146520614624,25.87146520614624,25.87146520614624,1,67,Lift New,A,Success
5,../Translators/input-files/examples/lift_FINAL_NEW.spectra,5,['A'],False,10,SimEnv.Realizable,197.84961938858032,21.044124603271484,20.853675603866577,10,67,Lift New,A,Realizable
6,../Translators/input-files/examples/lift_FINAL_NEW.spectra,6,['A'],False,7,SimEnv.Realizable,188.00269603729248,21.764159202575684,18.195781469345093,10,67,Lift New,A,Realizable
7,../Translators/input-files/examples/lift_FINAL_NEW.spectra,7,['A'],False,4,SimEnv.Success,39.51069712638855,19.97189450263977,19.755348563194275,2,67,Lift New,A,Success
8,../Translators/input-files/examples/lift_FINAL_NEW.spectra,8,['A'],False,5,SimEnv.Realizable,264.58936977386475,26.896599531173703,26.519287824630737,10,67,Lift New,A,Realizable
9,../Translators/input-files/examples/lift_FINAL_NEW.spectra,9,['A'],False,1,SimEnv.Success,18.12620973587036,18.12620973587036,18.12620973587036,1,67,Lift New,A,Success
10,../Translators/input-files/examples/lift_FINAL_NEW.spectra,0,"['A,G']",False,1,SimEnv.Invalid,0.0,0.0,0.0,0,67,Lift New,"A,G",Invalid
11,../Translators/input-files/examples/lift_FINAL_NEW.spectra,1,"['A,G']",False,11,SimEnv.Success,17.767337799072266,17.767337799072266,17.767337799072266,1,67,Lift New,"A,G",Success
12,../Translators/input-files/examples/lift_FINAL_NEW.spectra,2,"['A,G']",False,3,SimEnv.Success,17.736114263534546,17.736114263534546,17.736114263534546,1,67,Lift New,"A,G",Success
13,../Translators/input-files/examples/lift_FINAL_NEW.spectra,3,"['A,G']",False,1,SimEnv.Success,17.94309663772583,17.94309663772583,17.94309663772583,1,67,Lift New,"A,G",Success
